                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.775,                0.90641,                 1.2259,                0.94493,                0.89297,                0.94382,                 0.4172,                 1.9115,                0.85022,                 1.2961,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7679,                0.89947,                 1.2097,                0.95473,                0.89495,                0.95197,                0.41837,                 1.9077,                 0.8565,                 1.3008,               0.000614,               0.000614,               0.000614
                     37,                 1.7684,                0.89898,                 1.2148,                0.94454,                0.89752,                0.94243,                0.42947,                 1.8756,                0.83433,                 1.2879,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.732,                0.87011,                 1.2003,                0.95246,                0.90713,                0.95139,                0.43244,                 1.8611,                0.82781,                 1.2794,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7349,                0.87456,                 1.1975,                0.94071,                0.89592,                0.94064,                0.42913,                 1.8795,                0.83492,                 1.2889,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7353,                0.86973,                 1.1978,                0.93862,                0.90604,                0.94898,                0.43108,                 1.8974,                0.81629,                 1.2878,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6962,                0.79222,                 1.2696,                0.94905,                0.90981,                0.95249,                0.43646,                 1.8606,                0.80727,                 1.2725,               0.000416,               0.000416,               0.000416
                     42,                 1.6802,                0.75986,                 1.2587,                0.95694,                0.90953,                0.95567,                0.44172,                 1.8648,                0.79905,                 1.2721,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6696,                0.75171,                 1.2604,                0.95621,                0.90918,                0.95729,                0.44697,                  1.862,                0.79322,                 1.2754,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.6457,                0.74568,                 1.2466,                0.95687,                0.91193,                0.95788,                 0.4471,                 1.8555,                0.78746,                 1.2728,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6389,                0.72633,                 1.2353,                 0.9468,                0.91198,                0.96007,                0.44924,                 1.8532,                0.77905,                 1.2697,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6133,                0.72146,                 1.2309,                0.95025,                0.91763,                  0.958,                0.44686,                 1.8624,                 0.7795,                 1.2746,               0.000218,               0.000218,               0.000218
                     47,                 1.6061,                0.71564,                 1.2225,                 0.9581,                0.91541,                 0.9588,                0.45201,                 1.8473,                0.76589,                 1.2706,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.5944,                0.69971,                 1.2154,                0.96053,                0.92074,                0.96541,                0.45626,                 1.8441,                0.75979,                 1.2697,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.5794,                0.69429,                 1.2162,                0.96284,                0.91753,                0.96355,                0.45633,                 1.8422,                 0.7581,                 1.2675,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.5812,                0.68734,                 1.2123,                0.95553,                0.92896,                0.96643,                0.45586,                 1.8427,                 0.7488,                 1.2688,               5.96e-05,               5.96e-05,               5.96e-05
