image,mask_pixels,skeleton_pixels,D_min_px,D_ref_px,stenosis_percent
14_007_8_0040_bmp.rf.d150356ceccd7805e50c2120793374b5_mask.png,1139,161,4.472,9.988,55.23
14_007_8_0042_bmp.rf.75b08717728263aad2ca7dadb66c8d36_mask.png,1073,148,4.472,11.112,59.75
14_007_8_0043_bmp.rf.e3136945bea8926475ae44a1759cd5f7_mask.png,1272,174,4.472,10.541,57.57
14_007_8_0048_bmp.rf.4125d3c253d029bf45666db75ad817d4_mask.png,844,119,4.472,8.0,44.1
14_007_8_0052_bmp.rf.273a9919e0b51bf28410c3022fba86d6_mask.png,1105,193,4.472,8.308,46.17
14_007_8_0056_bmp.rf.3dc2c00a757099c34ebf75612be04327_mask.png,690,136,4.472,7.034,36.42
14_007_8_0057_bmp.rf.6492ba270bf2e711400642ee49b46570_mask.png,524,100,4.472,7.921,43.54
14_007_8_0059_bmp.rf.1a3f75969db810b877357445a5aed84b_mask.png,527,82,4.472,8.408,46.81
14_007_8_0060_bmp.rf.c74239da6584ec7c7b36a4958b3bbe3a_mask.png,566,97,4.472,6.292,28.92
14_007_8_0081_bmp.rf.be47f5c07b47dd910e759a3eecc84e50_mask.png,1492,262,4.472,8.123,44.95
14_007_8_0082_bmp.rf.4eb7486a517828e569b4bd4c6369c0d5_mask.png,667,118,4.472,6.679,33.04
14_007_8_0090_bmp.rf.a7582779e8b30fa94bfb012fdb52d122_mask.png,763,132,4.472,6.945,35.61
14_007_8_0091_bmp.rf.6d4bf4c2390145aae4d2d489386534dc_mask.png,1301,222,4.472,7.211,37.98
14_007_8_0096_bmp.rf.b645e9fd1ff049f69690f46289ab91a2_mask.png,923,168,4.472,7.211,37.98
14_007_8_0110_bmp.rf.0f3fc6563ea7d4718f2da85a94c4f7df_mask.png,910,150,4.472,8.333,46.33
14_007_8_0117_bmp.rf.6239ec8633d7f00c9ab3743c697513d6_mask.png,1069,178,4.472,8.0,44.1
14_007_8_0118_bmp.rf.ad80b7d572cc9862fafb777f4e167be4_mask.png,1723,289,4.472,8.0,44.1
14_010_1_0023_bmp.rf.a6d26fdee76db8d3939b2cbb91d58708_mask.png,422,82,4.472,7.794,42.62
14_010_1_0025_bmp.rf.a63efe9cb1a6970dcffefc8ecc609f5d_mask.png,471,74,4.472,7.97,43.89
14_010_1_0035_bmp.rf.a0cc379c255184d0c64d609aa0a3159c_mask.png,320,51,4.472,8.086,44.69
14_010_6_0030_bmp.rf.2760404effe89c357dff80c152427d2d_mask.png,223,45,4.472,5.183,13.71
14_012_4_0018_bmp.rf.70b7e3da5052c215cc02b7bb1084725d_mask.png,404,73,4.472,6.0,25.46
14_014_1_0012_bmp.rf.405436f816ff6caa566ee8c87b7aed42_mask.png,546,108,4.472,5.657,20.94
14_014_1_0016_bmp.rf.5e694b05e1aa375cf05a97b7043dc178_mask.png,254,42,4.472,5.897,24.16
14_014_1_0017_bmp.rf.593781d86fa25ae504ad11218cb32fa5_mask.png,404,71,4.0,6.227,35.77
14_014_1_0025_bmp.rf.24bcbd15298347318d2bab0f49f40d5e_mask.png,351,63,4.472,5.657,20.94
14_015_1_0002_bmp.rf.78c2b183e18a6392dfe1b84ece9ae786_mask.png,3892,648,4.472,10.099,55.72
14_015_1_0009_bmp.rf.a34fbd2bd4777f788f232a30786c6e96_mask.png,1345,181,4.472,8.645,48.27
14_015_1_0011_bmp.rf.d9d4e48a627557c19c8912ea35a8eb73_mask.png,641,116,4.472,6.0,25.46
14_015_1_0016_bmp.rf.0dbbbd472c6d00e5486e95a8c0b9f1e5_mask.png,852,156,4.472,6.325,29.29
14_015_1_0020_bmp.rf.e8ae2cd5a7c7bd580702a22f1606150c_mask.png,603,113,4.472,6.0,25.46
14_015_1_0029_bmp.rf.9542dad20f1614a99b3f19511f40bb86_mask.png,689,148,4.472,5.657,20.94
14_015_1_0031_bmp.rf.e4ead0671eaf331b9a3f5784752bd1d2_mask.png,1381,244,4.472,7.211,37.98
14_015_1_0036_bmp.rf.e4171967a7f3e53d21ba0962e7b34a08_mask.png,600,106,4.472,5.657,20.94
14_015_1_0043_bmp.rf.5ad689b45fab4c473a1b609dd6b1f83b_mask.png,525,102,4.472,6.0,25.46
